IP Âú∞ÂùÄ,Â∑≤ÂèëÈÄ?Â∑≤Êé•Êî?‰∏¢ÂåÖÁé?Âπ≥ÂùáÂª∂Ëøü,‰∏ãËΩΩÈÄüÂ∫¶ (MB/s),,,
104.16.114.245,4,4,0,170.94,9.42
104.16.123.185,4,4,0,182.17,8.85
104.16.122.90,4,4,0,185.86,8.69
104.16.127.180,4,4,0,179.55,7.89
104.16.115.165,4,4,0,168.91,6.5
104.16.120.192,4,4,0,185.8,6.38
162.159.207.144,4,4,0,181.78,5.74
104.16.112.39,4,4,0,168.82,5.37
104.16.113.8,4,4,0,172.83,3.18
198.41.198.63,4,4,0,169.62,0.48
104.18.17.131,4,4,0,182.81,8.11
104.16.120.61,4,4,0,175.38,7.92
104.18.127.107,4,4,0,168.74,7
104.16.113.178,4,4,0,171.58,5.97
162.159.38.61,4,4,0,184.39,4.19
141.101.121.28,4,4,0,174.65,3.12
162.159.255.36,4,4,0,178.04,2.98
162.159.244.37,4,4,0,182.76,2.13
104.18.55.90,4,4,0,185.66,2.04
104.18.56.73,4,4,0,191.09,0.41
104.16.112.197,4,4,0,166.4,10.16
104.16.113.174,4,4,0,166.7,9.94
141.101.121.26,4,4,0,160.93,9.75
162.159.38.39,4,4,0,168.8,9.64
104.16.127.196,4,4,0,167.79,9.44
104.16.120.44,4,4,0,168.03,9.33
141.101.120.229,4,4,0,167.93,6.54
104.18.27.78,4,4,0,164.19,4.57
104.16.124.152,4,4,0,161.11,0
173.245.49.101,4,4,0,166.06,0
162.159.45.22,4,4,0,165.14,9.86
104.18.20.94,4,4,0,164.32,8.86
104.16.120.117,4,4,0,161.32,8.23
104.19.253.221,4,4,0,155.94,7.36
104.16.112.231,4,4,0,163.31,6.91
104.16.126.42,4,4,0,164.06,6.31
104.19.35.119,4,4,0,164.29,5.65
141.101.120.72,4,4,0,164.04,2.47
104.16.117.101,4,4,0,159.66,0
104.19.247.229,4,4,0,163.26,0
104.16.116.109,4,4,0,165.13,12.46
104.16.121.252,4,4,0,158.58,10.41
104.19.114.31,4,4,0,164.96,9.18
104.16.126.103,4,4,0,164.27,8.81
104.16.123.30,4,4,0,164.61,8.7
104.16.127.18,4,4,0,161.92,7.5
173.245.49.67,4,4,0,158.98,7.27
104.16.119.27,4,4,0,165.79,4.55
162.159.45.218,4,4,0,163.96,0
104.16.122.215,4,4,0,161.97,0
141.101.122.121,4,4,0,167.42,9.11
104.18.18.107,4,4,0,163.63,9.09
104.18.36.12,4,4,0,163.25,8.71
104.18.119.143,4,4,0,158.1,8.57
104.19.249.32,4,4,0,165.41,7.92
141.101.123.202,4,4,0,167.91,7.5
104.18.122.12,4,4,0,159.82,7.33
104.19.6.181,4,4,0,160.34,4.87
104.18.29.155,4,4,0,163.08,0.59
104.16.121.104,4,4,0,167.06,0
